data/id,data/source,data/target,data/line_name_k,data/is_bullet,data/lon,data/company_name_k,data/zoom,data/SUID,data/company_type,data/company_name_h,data/interaction,data/shared_interaction,data/company_url,data/line_name,data/selected,data/company_name,data/company_cd,data/name,data/rr_cd,data/company_name_r,data/e_status_x,data/shared_name,data/lat,data/e_status_y,data/line_name_h,selected
13422,2928,2929,チュウオウ・ソウブセン,false,139.83715522681192,ジェイアールヒガシニホン,10,13422,1,東日本旅客鉄道株式会社,11313,11313,http://www.jreast.co.jp/,JR中央・総武線,false,JR東日本,2,1131312 (11313) 1131313,11,JR東日本,0,1131312 (11313) 1131313,35.701641362335245,0,JR中央・総武緩行線,false
13421,2927,2928,チュウオウ・ソウブセン,false,139.83715522681192,ジェイアールヒガシニホン,10,13421,1,東日本旅客鉄道株式会社,11313,11313,http://www.jreast.co.jp/,JR中央・総武線,false,JR東日本,2,1131311 (11313) 1131312,11,JR東日本,0,1131311 (11313) 1131312,35.701641362335245,0,JR中央・総武緩行線,false
13424,2930,2931,チュウオウ・ソウブセン,false,139.83715522681192,ジェイアールヒガシニホン,10,13424,1,東日本旅客鉄道株式会社,11313,11313,http://www.jreast.co.jp/,JR中央・総武線,false,JR東日本,2,1131314 (11313) 1131315,11,JR東日本,0,1131314 (11313) 1131315,35.701641362335245,0,JR中央・総武緩行線,false
13423,2929,2930,チュウオウ・ソウブセン,false,139.83715522681192,ジェイアールヒガシニホン,10,13423,1,東日本旅客鉄道株式会社,11313,11313,http://www.jreast.co.jp/,JR中央・総武線,false,JR東日本,2,1131313 (11313) 1131314,11,JR東日本,0,1131313 (11313) 1131314,35.701641362335245,0,JR中央・総武緩行線,false
13426,2932,2933,チュウオウ・ソウブセン,false,139.83715522681192,ジェイアールヒガシニホン,10,13426,1,東日本旅客鉄道株式会社,11313,11313,http://www.jreast.co.jp/,JR中央・総武線,false,JR東日本,2,1131316 (11313) 1131317,11,JR東日本,0,1131316 (11313) 1131317,35.701641362335245,0,JR中央・総武緩行線,false
13425,2931,2932,チュウオウ・ソウブセン,false,139.83715522681192,ジェイアールヒガシニホン,10,13425,1,東日本旅客鉄道株式会社,11313,11313,http://www.jreast.co.jp/,JR中央・総武線,false,JR東日本,2,1131315 (11313) 1131316,11,JR東日本,0,1131315 (11313) 1131316,35.701641362335245,0,JR中央・総武緩行線,false
13412,2918,2919,チュウオウ・ソウブセン,false,139.83715522681192,ジェイアールヒガシニホン,10,13412,1,東日本旅客鉄道株式会社,11313,11313,http://www.jreast.co.jp/,JR中央・総武線,false,JR東日本,2,1131302 (11313) 1131303,11,JR東日本,0,1131302 (11313) 1131303,35.701641362335245,0,JR中央・総武緩行線,false
13411,2917,2918,チュウオウ・ソウブセン,false,139.83715522681192,ジェイアールヒガシニホン,10,13411,1,東日本旅客鉄道株式会社,11313,11313,http://www.jreast.co.jp/,JR中央・総武線,false,JR東日本,2,1131301 (11313) 1131302,11,JR東日本,0,1131301 (11313) 1131302,35.701641362335245,0,JR中央・総武緩行線,false
13414,2920,2921,チュウオウ・ソウブセン,false,139.83715522681192,ジェイアールヒガシニホン,10,13414,1,東日本旅客鉄道株式会社,11313,11313,http://www.jreast.co.jp/,JR中央・総武線,false,JR東日本,2,1131304 (11313) 1131305,11,JR東日本,0,1131304 (11313) 1131305,35.701641362335245,0,JR中央・総武緩行線,false
13413,2919,2920,チュウオウ・ソウブセン,false,139.83715522681192,ジェイアールヒガシニホン,10,13413,1,東日本旅客鉄道株式会社,11313,11313,http://www.jreast.co.jp/,JR中央・総武線,false,JR東日本,2,1131303 (11313) 1131304,11,JR東日本,0,1131303 (11313) 1131304,35.701641362335245,0,JR中央・総武緩行線,false
13416,2922,2923,チュウオウ・ソウブセン,false,139.83715522681192,ジェイアールヒガシニホン,10,13416,1,東日本旅客鉄道株式会社,11313,11313,http://www.jreast.co.jp/,JR中央・総武線,false,JR東日本,2,1131306 (11313) 1131307,11,JR東日本,0,1131306 (11313) 1131307,35.701641362335245,0,JR中央・総武緩行線,false
13415,2921,2922,チュウオウ・ソウブセン,false,139.83715522681192,ジェイアールヒガシニホン,10,13415,1,東日本旅客鉄道株式会社,11313,11313,http://www.jreast.co.jp/,JR中央・総武線,false,JR東日本,2,1131305 (11313) 1131306,11,JR東日本,0,1131305 (11313) 1131306,35.701641362335245,0,JR中央・総武緩行線,false
13418,2924,2925,チュウオウ・ソウブセン,false,139.83715522681192,ジェイアールヒガシニホン,10,13418,1,東日本旅客鉄道株式会社,11313,11313,http://www.jreast.co.jp/,JR中央・総武線,false,JR東日本,2,1131308 (11313) 1131309,11,JR東日本,0,1131308 (11313) 1131309,35.701641362335245,0,JR中央・総武緩行線,false
13417,2923,2924,チュウオウ・ソウブセン,false,139.83715522681192,ジェイアールヒガシニホン,10,13417,1,東日本旅客鉄道株式会社,11313,11313,http://www.jreast.co.jp/,JR中央・総武線,false,JR東日本,2,1131307 (11313) 1131308,11,JR東日本,0,1131307 (11313) 1131308,35.701641362335245,0,JR中央・総武緩行線,false
13496,3004,3005,オウメセン,false,139.2400413547656,ジェイアールヒガシニホン,11,13496,1,東日本旅客鉄道株式会社,11315,11315,http://www.jreast.co.jp/,JR青梅線,false,JR東日本,2,1131518 (11315) 1131519,11,JR東日本,0,1131518 (11315) 1131519,35.782572650078514,0,JR青梅線,false
